ID,Assembly,Manufacturer,Part number,Qty,Function,Design status,Purchase status,Order ref,Source,Notes
BOM-11,Enclosure,Americord,1112.048.005350,1,Mains receptacle or female pigtail,Capture candidate,In stock,,https://www.americord.com/en-ca/products/4ft-roj-2-strip-3-8-to-nema-5-15r-power-cord-18-3-sjtow-na,4 ft 18/3 SJTOW; 10 A/125 V; confirm received jacket OD and gland fit Owner confirms sufficient existing stock for this build; no purchase or shipment tracked.
BOM-12,Mains,Littelfuse,0215002.MXP,1,2 A time-lag inlet fuse F1,Selected for capture,On the way,DigiKey 101602605,https://www.littelfuse.com/assetdocs/fuse-215-datasheet?assetguid=990f7193-d9a2-48e4-b760-2b43514249cf,215-series ceramic 5x20 cartridge in 6200.2300 inlet. 190 mV maximum drop at rated current. Final assembly cold starts remain untested. Purchased 2 x 0215002.MXP (F4609-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-13,Mains,Littelfuse,TMOV14RP175E,1,Protected MOV surge network,Selected for capture,Not ordered,,https://www.littelfuse.com/assetdocs/tmov-itmov?assetguid=bd475732-1071-4352-b8aa-f78b0007eb05,Mains: RV1; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate.
BOM-14,Mains,TDK,B32921C3473K000,1,47 nF X2 capacitor in load RC network,Selected for capture,On the way,DigiKey 101602605,https://www.tdk-electronics.tdk.com/en/3191402/products/product-catalog/film-capacitors/emi-suppression-capacitors/search-results-deltacap-capacitors?so=%7B%22orderingCode%22%3A%22B32921C3473%2A%22%7D,Mains: C1; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x B32921C3473K000 (495-6903-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-15,Controller,Alpha & Omega Semiconductor,AO3400A,4,Relay and future motor low-side switches,Selected for capture,On the way,DigiKey 101602605,https://www.aosmd.com/res/data_sheets/AO3400A.pdf,"Controller: Q2, Q3, Q4, Q1; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x AO3400A (785-1000-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-16,Controller,Diodes Incorporated,AP63203WU-7,1,Controller fixed 3.3 V buck,Selected for capture,Not ordered,,https://www.diodes.com/datasheet/download/AP63200-AP63201-AP63203-AP63205.pdf,Controller: U2; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate.
BOM-17,Sensor,Texas Instruments,TPS7A2433DBVR,1,Fixed 3.3 V sensor regulator,Selected for capture,On the way,DigiKey 101602605,https://www.ti.com/lit/ds/symlink/tps7a24.pdf,Sensor: U2; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x TPS7A2433DBVR (296-TPS7A2433DBVRCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-18,Controller,GCT,USB4105-GF-A,1,Self-powered USB-C data/service connector,Selected for capture,On the way,DigiKey 101602605,https://gct.co/files/drawings/usb4105.pdf,Controller: J4; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x USB4105-GF-A (2073-USB4105-GF-ACT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-19,Controller,Kingbright,WP710A10LGD,1,Green status LED,Selected for capture,On the way,DigiKey 101602605,https://www.kingbrightusa.com/images/catalog/SPEC/WP710A10LGD.pdf,Controller: D4; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 2 x HLMP-1790 (516-1310-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-20,Controller,Omron,B3F-1002-G,3,Maintenance / BOOT / reset buttons,Selected for capture,On the way,DigiKey 101602605,https://components.omron.com/us-en/system/files/2023-01/datasheet_pdf/A070-E1.pdf,"Controller: SW1, SW2, SW3; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 3 x B3F-1002-G (SW787-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-21,Enclosure,Hammond,1590ZGRP243,1,Flame-rated splash-resistant enclosure,Capture candidate,In stock,,https://www.hammfg.com/part/1590ZGRP243,400x250x120 mm nominal GRP UL94 V-0 IP66 enclosure; insulating partition and simple standoffs; current manufacturer STEP fit receipt in cad/shared-enclosure. Modified cutouts do not inherit catalog rating. Inventory status set by owner.
BOM-22,Sensor mount,3M,467MP,1,Thin uniform adhesive film for sensor-to-glass mounting,Selected for owner assembly,On the way,DigiKey 101602605,https://multimedia.3m.com/mws/media/2522781O/3m-adhesive-transfer-tape-467mp.pdf?fn=3M-Adhesive-Transfer-Tape-467MP.pdf,One18x64mm patch of thin transfer film; no foam. Purchase three-patch stock allowance separately. Published thickness0.05–0.06mm; actual installed thickness and adhesion become calibration/commissioning inputs. Purchased 1 x 467MP-1-5 (1067-467MP-1-5-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-23,Sensor harness,Alpha Wire,5493C,1,Three-pair cable at most 8 inches,Selected for owner assembly,On the way,AliExpress; order number not provided,https://www.alphawire.com/products/cable/xtra-guard-performance-cable/xtra-guard-1/5493c,"Slate three-pair24AWG cable. One complete harness<=203.2mm, including internal reach and terminations. Buy1m cutting stock separately. Pairs1–4 power,2–5 SDA,3–6 SCL. Cut back and insulate overall foil/drain at both ends; no driven-shield connection. Received reach/bend/strain relief and rise time remain physical checks. Owner confirmed twisted-pair cable ordered from AliExpress on 2026-09-14; actual manufacturer/model, purchased length, gauge and pair count not recorded. This does not confirm purchase of Alpha 5493C or approve equivalence."
BOM-24,Mains,Vishay,PR02FS0201000KA100,1,100 ohm 2W snubber resistor,Selected for capture,On the way,DigiKey 101602605,https://www.vishay.com/docs/28915/pr02fs.pdf,Mains: R1; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x PR02FS0201000KR500 (BC3366CT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-25,Mains,Vishay,1N4007-E3/54,1,Relay flyback diode,Selected for capture,On the way,DigiKey 101602605,https://www.vishay.com/docs/88503/1n4001.pdf,Mains: D1; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x 1N4007-E3/54 (1N4007-E3/54GICT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-26,Controller/Mains,Bourns,SRP5030TA-4R7M,2,4.7 uH buck inductors,Selected for capture,On the way,DigiKey 101602605,https://www.bourns.com/docs/product-datasheets/srp5030ta.pdf,Controller: L1; Mains: L1; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 2 x SRP5030TA-4R7M (SRP5030TA-4R7MCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-27,Controller/Sensor,STMicroelectronics,STPS2L40U,6,Source OR / motor flyback / sensor reverse diodes,Selected for capture,On the way,DigiKey 101602605,https://www.st.com/resource/en/datasheet/stps2l40.pdf,"Controller: D9, D10, D11, D1, D2; Sensor: D2; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x STPS2L40U (497-5574-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-28,Controller,Texas Instruments,TPS3808G01DBVR,1,PSU voltage supervisor,Selected for capture,On the way,DigiKey 101602605,https://www.ti.com/lit/ds/symlink/tps3808.pdf,Controller: U4; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x TPS3808G01DBVR (296-17188-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-29,Controller,Texas Instruments,SN74LVC1G08DBVR,1,PSU-good AND relay-request gate,Selected for capture,On the way,DigiKey 101602605,https://www.ti.com/lit/ds/symlink/sn74lvc1g08.pdf,Controller: U6; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x SN74LVC1G08DBVR (296-11601-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-30,Controller,onsemi,FSUSB42MUX,1,USB data isolation switch,Selected for capture,On the way,DigiKey 101602605,https://www.onsemi.com/download/data-sheet/pdf/fsusb42-d.pdf,Controller: U8; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x FSUSB42MUX (FSUSB42MUXCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-31,Controller,Texas Instruments,SN74LVC1G14DBVR,1,USB VBUS detector/inverter,Selected for capture,On the way,DigiKey 101602605,https://www.ti.com/lit/ds/symlink/sn74lvc1g14.pdf,Controller: U7; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x SN74LVC1G14DBVR (296-11607-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-32,Controller,STMicroelectronics,USBLC6-2SC6,1,USB ESD protection,Selected for capture,Not ordered,,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,Controller: U9; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate.
BOM-33,Controller,Texas Instruments,TCA9517ADGKR,2,Tank and reservoir I2C buffers,Selected for capture,On the way,DigiKey 101602605,https://www.ti.com/lit/ds/symlink/tca9517a.pdf,"Controller: U12, U3; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 2 x TCA9517ADGKR (296-39220-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-34,Enclosure,Schurter,RC320,1,IEC rear terminal cover,Capture candidate,On the way,DigiKey 101602605,https://www.schurter.com/en/datasheet/typ_6200.pdf,Matched 6200 inlet accessory Purchased 1 x 3-125-661 (486-3-125-661-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-35,Controller/Mains,Molex,43650-0300,2,5 V / ground / coil harness headers,Selected for capture,On the way,DigiKey 101602605,https://www.molex.com/en-us/products/part-detail/436500300,Controller: J1; Mains: J5; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 2 x 0436500300 (WM1861-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-36,Controller/mains harness,Molex,43645-0300,2,Three-position LV cable housing,Capture candidate,On the way,DigiKey 101602605,https://www.molex.com/en-us/products/part-detail/436450300,Mates 43650-0300 Purchased 3 x 0436450300 (WM1846-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-37,Controller/mains harness,Molex,43030-0007,6,LV harness female contact,Capture candidate,On the way,DigiKey 101602605,https://www.molex.com/en-us/products/part-detail/430300007,22 AWG; six separate terminations Purchased 25 x 0430300007 (WM1837-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-38,Controller/Mains,Molex,43045-0200,5,12 V feed / motor output headers,Selected for capture,On the way,DigiKey 101602605,https://www.molex.com/en-us/products/part-detail/430450200,Controller J6-J9; Mains J6. Controller 5 V service J2 uses JST XH. Purchased 5 x 0430450200 (WM1813-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-39,12 V harness,Molex,43025-0200,2,Two-position cable housing,Capture candidate,On the way,DigiKey 101602605,https://www.molex.com/en-us/products/part-detail/430250200,Two ends of the internal fused 12 V harness; future pump accessory mates are deferred. Purchased 3 x 0430250200 (WM1783-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-40,12 V harness,Molex,43030-0007,4,Internal 12 V cable contacts,Capture candidate,On the way,DigiKey 101602605,https://www.molex.com/en-us/products/part-detail/430300007,20-24 AWG contacts: four internal 12 V terminations. Splice inline-holder leads to compatible wire. Purchased 25 x 0430300007 (WM1837-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-54,Mains harness,Alpha Wire,6715,,Internal black and white mains wire,Capture candidate,In stock,,https://www.alphawire.com/en/products/wire/ecogen/ecowire/6715,18 AWG 600 V 105 C; OD 1.70 +/-0.05 mm; lengths and colour order suffixes pending Owner confirms sufficient existing stock for this build; exact manufacturer part number and total stock count not recorded.
BOM-55,PE harness,Alpha Wire,3075,,Green/yellow PE wire,Capture candidate,In stock,,https://www.alphawire.com/en/products/wire/hook-up-wire/premium/3075,18 AWG 600 V 105 C; OD 2.82 +/-0.10 mm; lengths and colour order suffix pending Owner confirms sufficient existing stock for this build; exact manufacturer part number and total stock count not recorded.
BOM-56,Controller/mains harness,Alpha Wire,6713,,Red black and blue LV harness wire,Capture candidate,In stock,,https://www.alphawire.com/en/products/wire/ecogen/ecowire/6713,22 AWG 600 V 105 C; verify exact order suffixes and cut lengths in harness drawing Owner confirms sufficient existing stock for this build; exact manufacturer part number and total stock count not recorded.
BOM-57,Mains harness,TE Connectivity,2-520184-2,8,Insulated 6.35 mm receptacle,Capture candidate,On the way,DigiKey 101602605,https://www.te.com/en/product-2-520184-2.html,"Eight fitted: inlet L/N/PE (3), filter LINE/LOAD L/N (4), filter PE (1). Exact TE 802490-SF model confirms the fifth filter terminal is a PE FASTON blade. Three central PE rings are separate. Buy ten including two spare. Purchased 10 x 2-520184-2 (A27817-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-58,PE harness,TE Connectivity,31886,2,Inlet and filter PE stud ring,Capture candidate,On the way,DigiKey 101602605,https://www.te.com/en/product-31886.html,#8/M4 PIDG; 22-16 AWG; insulation 2.67-3.56 mm; one per separate PE branch Purchased 2 x 31886 (A27238-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-59,PE harness,TE Connectivity,320551,1,Pigtail PE stud ring,Capture candidate,On the way,DigiKey 101602605,https://www.te.com/en/product-320551.html,#8/M4 PIDG; 22-16 AWG; insulation 2.03-3.18 mm; verify received pigtail conductor Purchased 1 x 320551 (A27237-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-60,Enclosure,Heyco,M3231,1,Output cord gland,Capture candidate,On the way,DigiKey 101602605,https://www.heyco.com/wp-content/uploads/2024/10/Liquid-Tight-Cordgrips-NPT.pdf,1/2 NPT; 4.3-11.4 mm cable; 22.2 mm clearance hole; required mounting accessories pending Purchased 1 x M3231 (3720-M3231-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-61,Enclosure,Schurter,6009.1315,1,Detachable mains input cord,Capture candidate,In stock,,https://www.schurter.com/en/datasheet/6009.1315,2.5 m 18 AWG SJT; NEMA5-15P to C13; 10 A 125 V Owner confirms an existing mains input cord in stock; manufacturer part number not recorded.
BOM-62,Controller,Texas Instruments,TPS2553DBVR,1,Controlled sensor power feed,Selected for capture,Not ordered,,https://www.ti.com/lit/ds/symlink/tps2553.pdf,Controller: U5; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate.
BOM-63,Controller/Mains,Murata,GRM32ER71E226ME15L,10,22 uF 25 V X7R bulk capacitors,Selected for capture,On the way,DigiKey 101602605,https://ds.murata.com/simsurfing/mlcc.html?partnumbers=%5B%22GRM32ER71E226ME15%22%5D,"Controller: C47, C1, C2, C3, C4, C5; Mains: C2, C3, C4, C6; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x CGA6P3X7R1E226M250AB (445-180363-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-64,Mains,Texas Instruments,TPS259470ARPWR,0,Secondary reverse-blocking UV/OV current protection,Not populated,Not ordered,,https://www.ti.com/lit/ds/symlink/tps25947.pdf,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: RPW0010A exact ten-land capture; V5_RAW to V5_PSU; network in docs/design/power-protection-review.md
BOM-65,Mains,STMicroelectronics,STPS2L40U,0,eFuse output negative clamp,Not populated,Not ordered,,https://www.st.com/resource/en/datasheet/stps2l40.pdf,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: SMB; anode ground cathode V5_PSU; source lands checked; transient clamp evidence remains open
BOM-66,Controller/Sensor,TDK,C3216X7R1E106K160AB,3,10 uF 25 V X7R capacitors,Selected for capture,On the way,DigiKey 101602605,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c3216x7r1e106k160ab_200122.pdf,"Controller: C44; Sensor: C1, C2; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x CL31B106KLHNNNE (1276-3103-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-67,Sensor,TDK,C2012X7R1E474K125AA,0,LT3042 SET capacitor,Not populated,Not ordered,,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E474K125AA,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 0.47uF 25V X7R 10% 0805; startup allowance200ms
BOM-68,Sensor,Panasonic,ERA3AEB333V,0,LT3042 SET resistor,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB333V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 33k 0.1% 25ppm/C 0603 0.1W
BOM-69,Sensor,Panasonic,ERA3AEB2491V,0,LT3042 output current-limit resistor,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB2491V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 2.49k 0.1% 25ppm/C 0603 0.1W; nominal50.2mA; cable limit remains TPS2553
BOM-70,Mains,Panasonic,ERA3AEB2612V,0,eFuse UV divider top,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB2612V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: R2; 26.1k 0.1% 25ppm/C 0603 0.1W; verify lands during capture
BOM-71,Mains,Panasonic,ERA3AEB3832V,0,eFuse OV divider top,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB3832V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: R4; 38.3k 0.1% 25ppm/C 0603 0.1W; verify lands during capture
BOM-72,Mains,Panasonic,ERA3AEB103V,0,eFuse UV and OV divider bottoms,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB103V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: R3/R5; 10k 0.1% 25ppm/C 0603 0.1W; verify lands during capture
BOM-73,Mains,Panasonic,ERA3AEB2871V,0,eFuse current-limit resistor,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB2871V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: R6; 2.87k 0.1% 25ppm/C 0603 0.1W; verify lands during capture
BOM-74,Mains,TDK,C1608C0G1H472J080AA,0,eFuse output-ramp capacitor,Not populated,Not ordered,,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608C0G1H472J080AA,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: C5; 4.7nF 50V C0G 5% 0603; see ramp calculation; no ITIMER capacitor
BOM-75,Mains,TDK,C2012X7R1E105K125AB,0,C2 eFuse input bypass,Not populated,Not ordered,,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 1uF 25V X7R 10% 0805; V5_RAW to GND_ISO at U2.5/8; characterized bias allowance in protection basis
BOM-76,Mains,TDK,C1608X7R1H104K080AA,0,C3 eFuse input HF bypass,Not populated,Not ordered,,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 100nF 50V X7R 10% 0603; V5_RAW to GND_ISO closest to U2.5/8
BOM-77,Mains,Murata,GRM32ER71E226ME15L,0,C4 eFuse output bulk,Not populated,Not ordered,,https://ds.murata.com/simsurfing/mlcc.html?partnumbers=%5B%22GRM32ER71E226ME15%22%5D,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 22uF 25V X7R 20% 1210; V5_PSU to GND_ISO at U2.6/8; separate from five controller capacitors
BOM-78,Mains,Panasonic,ERA6AEB222V,0,R7 protected-rail discharge,Not populated,Not ordered,,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA6AEB222V,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: 2.2k 0.1% 25ppm/C 0805 0.125W; V5_PSU to GND_ISO; 2.5mA reserve allowance
BOM-79,Controller,Omron,B3F-1002-G,0,BOOT and reset service buttons,Not populated,Not ordered,,https://components.omron.com/us-en/system/files/2023-01/datasheet_pdf/A070-E1.pdf,Superseded or consolidated by the 2026-09-12 simplified source capture; do not order this row. Previous selection: Gold contact; BOOT recessed; reset through 330ohm BOM-91 bounds capacitor discharge
BOM-80,Controller,Panasonic,ERJ3EKF6800V,1,680 ohm 1% 0603 resistor group,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF6800V,Controller: R54; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x ERJ-3EKF6800V (P680HCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-81,Controller/Mains/Sensor,TDK,C1608X7R1H104K080AA,16,100 nF 50 V X7R bypass / bootstrap capacitors,Selected for capture,On the way,DigiKey 101602605,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,"Controller: C45, C46, C11, C12, C7, C8, C21, C6, C31, C30, C42, C40, C41; Mains: C5, C7; Sensor: C3; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 20 x C1608X7R1H104K080AA (445-1314-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-82,Controller/Sensor,TDK,C2012X7R1E105K125AB,4,1 uF 25 V X7R capacitors,Selected for capture,On the way,DigiKey 101602605,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,"Controller: C20, C9, C43; Sensor: C4; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x C2012X7R1E105K125AB (445-1354-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-83,Controller,Panasonic,ERA3AEB103V,1,10 kohm 0.1% supervisor divider bottom,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB103V,Controller: R15; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 2 x ERA-3AEB103V (P10KDBCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-84,Controller,Panasonic,ERJ3EKF5101V,2,5.1 kohm 1% 0603 resistor group,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF5101V,"Controller: R40, R41; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x ERJ-3EKF5101V (P5.10KHCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-85,Controller,Panasonic,ERJ3EKF1001V,1,1 kohm 1% 0603 resistor group,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1001V,Controller: R42; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x ERJ-3EKF1001V (P1.00KHCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-86,Controller,Panasonic,ERJ3EKF1003V,1,100 kohm 1% 0603 resistor group,Selected for capture,On the way,DigiKey 101602605,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1003V,Controller: R43; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 10 x ERJ-3EKF1003V (P100KHCT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
