order_line_id,source_ids,specified_part,purchased_part,required_quantity,required_unit,quantity_on_the_way,quantity_in_stock,status,order_ref,use,notes
ORDER-LINE-019,BOM-87,ERJ3EKF1000V,ERJ-3EKF1000V,4,each,10,0,On the way,DigiKey 101602605,controller: R20 R80 R82 R84,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-020,BOM-85,ERJ3EKF1001V,ERJ-3EKF1001V,1,each,10,0,On the way,DigiKey 101602605,controller: R42,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-021,BOM-121,ERJ3EKF1002V,ERJ-3EKF1002V,16,each,25,0,On the way,DigiKey 101602605,controller: R2 R11 R12 R46 R50 R51 R52 R53 R64 R65 R66 R67 R81 R83 R85; sensor: R5,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-022,BOM-86,ERJ3EKF1003V,ERJ-3EKF1003V,1,each,10,0,On the way,DigiKey 101602605,controller: R43,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-023,BOM-89,ERJ3EKF22R0V,ERJ-3EKF22R0V,8,each,10,0,On the way,DigiKey 101602605,controller: R44 R45 R62 R63 R70 R71; sensor: R1 R2,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-024,BOM-88,ERJ3EKF2701V,ERJ-3EKF2701V,6,each,10,0,On the way,DigiKey 101602605,controller: R60 R61 R72 R73; sensor: R3 R4,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-025,BOM-117,ERJ3EKF3011V,ERJ-3EKF3011V,1,each,10,0,On the way,DigiKey 101602605,sensor: R6,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-026,BOM-91,ERJ3EKF3300V,CRCW0603330RFKEA,1,each,10,0,On the way,DigiKey 101602605,controller: R55,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-027,BOM-84,ERJ3EKF5101V,ERJ-3EKF5101V,2,each,10,0,On the way,DigiKey 101602605,controller: R40 R41,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-028,BOM-80,ERJ3EKF6800V,ERJ-3EKF6800V,1,each,10,0,On the way,DigiKey 101602605,controller: R54,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-029,BOM-107,ESDS312DBVR,ESDS312DBVR,3,each,3,0,On the way,DigiKey 101602605,controller: U11 U13; sensor: U3,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-030,BOM-02,ESP32-C6-WROOM-1-N8,ESP32-C6-WROOM-1-N8,1,each,1,0,On the way,DigiKey 101602605,controller: U1,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-031,BOM-01,FDC1004DGSR,FDC1004DGSR,1,each,1,0,On the way,DigiKey 101602605,sensor: U1,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-032,BOM-30,FSUSB42MUX,FSUSB42MUX,1,each,1,0,On the way,DigiKey 101602605,controller: U8,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-033,BOM-04,G5RL-1A-TV8 DC5,,1,each,0,0,Not ordered,,mains: K1,Not included in order101602605; no new inventory credit. See source BOM for any earlier inventory caveats.
ORDER-LINE-034,BOM-63,GRM32ER71E226ME15L,CGA6P3X7R1E226M250AB,10,each,10,0,On the way,DigiKey 101602605,controller: C1 C2 C3 C4 C5 C47; mains: C2 C3 C4 C6,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-035,BOM-03,IRM-45-12,IRM-45-12,1,each,1,0,On the way,DigiKey 101602605,mains: U1,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-036,BOM-24,PR02FS0201000KA100,PR02FS0201000KR500,1,each,1,0,On the way,DigiKey 101602605,mains: R1,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-037,BOM-125,S2B-XH-A,S2B-XH-A,1,each,1,0,On the way,DigiKey 101602605,controller: J2,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-038,BOM-108,SMBJ7.0A,SMBJ7.0A,2,each,2,0,On the way,DigiKey 101602605,controller: D7 D8,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-039,BOM-29,SN74LVC1G08DBVR,SN74LVC1G08DBVR,1,each,10,0,On the way,DigiKey 101602605,controller: U6,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-040,BOM-31,SN74LVC1G14DBVR,SN74LVC1G14DBVR,1,each,10,0,On the way,DigiKey 101602605,controller: U7,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-041,BOM-26,SRP5030TA-4R7M,SRP5030TA-4R7M,2,each,2,0,On the way,DigiKey 101602605,controller: L1; mains: L1,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-042,BOM-27,STPS2L40U,STPS2L40U,6,each,10,0,On the way,DigiKey 101602605,controller: D1 D2 D9 D10 D11; sensor: D2,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-043,BOM-33,TCA9517ADGKR,TCA9517ADGKR,2,each,2,0,On the way,DigiKey 101602605,controller: U3 U12,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-044,BOM-13,TMOV14RP175EL2T7,,1,each,0,0,Not ordered,,mains: RV1,Not included in order101602605; no new inventory credit. See source BOM for any earlier inventory caveats.
ORDER-LINE-045,BOM-62,TPS2553DBVR,,1,each,0,0,Not ordered,,controller: U5,Not included in order101602605; no new inventory credit. See source BOM for any earlier inventory caveats.
ORDER-LINE-046,BOM-28,TPS3808G01DBVR,TPS3808G01DBVR,1,each,1,0,On the way,DigiKey 101602605,controller: U4,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-047,BOM-17,TPS7A2433DBVR,TPS7A2433DBVR,1,each,1,0,On the way,DigiKey 101602605,sensor: U2,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-048,BOM-18,USB4105-GF-A,USB4105-GF-A,1,each,10,0,On the way,DigiKey 101602605,controller: J4,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-049,BOM-32,USBLC6-2SC6,,1,each,0,0,Not ordered,,controller: U9,Not included in order101602605; no new inventory credit. See source BOM for any earlier inventory caveats.
ORDER-LINE-050,BOM-19,WP710A10LGD,HLMP-1790,1,each,2,0,On the way,DigiKey 101602605,controller: D4,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-051,BOM-05,FN2090A-1-06 / 802490-SF,FN2090A-1-06,1,each,1,0,On the way,DigiKey 101602605,Enclosure mains: Manufactured two-stage EMI filter,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-052,BOM-06,43025-0600,0430250600,1,each,10,0,On the way,DigiKey 101602605,Sensor harness: Six-position cable receptacle housing,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-053,BOM-10,6200.2300,6200.23,1,each,1,0,On the way,DigiKey 101602605,Enclosure: Standard mains input,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-054,BOM-11,1112.048.005350,1112.048.005350,1,each,0,1,In stock,,Enclosure: Mains receptacle or female pigtail,"Owner confirms sufficient existing stock for this build. Quantity is the build allocation, not total holdings. No purchase or shipment tracked; specified material and dimensions remain assembly requirements."
ORDER-LINE-055,BOM-12 BOM-123,0215002.MXP,0215002.MXP,2,each,2,0,On the way,DigiKey 101602605,Mains: 2 A time-lag inlet fuse F1; Service 2 A time-lag cartridge,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-056,BOM-21,1590ZGRP243,1590ZGRP243,1,each,0,1,In stock,,Enclosure: Flame-rated splash-resistant enclosure,Inventory status set by owner.
ORDER-LINE-057,BOM-22,467MP (25mm wide converter strip or sheet),467MP-1-5,1,18 x 64mm patch,1,0,On the way,DigiKey 101602605,Sensor mount: Thin uniform adhesive film for sensor-to-glass mounting,"On-the-way quantity is one 25.4 mm x 5 yd roll of 467MP, to cut into intact 18 x 64 mm patches. Receipt not yet recorded."
ORDER-LINE-058,BOM-23,"5493C, slate, cut length",Twisted-pair sensor cable; AliExpress model not recorded,0.2032,m maximum installed,,0,On the way,AliExpress; order number not provided,Sensor harness: Three-pair cable at most 8 inches,"Owner confirmed ordered from AliExpress on 2026-09-14. Purchased length, gauge, pair count and model not provided; blank quantity means unknown. Alpha 5493C remains the design reference, not a claim about the purchased cable. Verify received cable against harness requirements before assembly."
ORDER-LINE-059,BOM-34,RC320,3-125-661,1,each,1,0,On the way,DigiKey 101602605,Enclosure: IEC rear terminal cover,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-060,BOM-36,43645-0300,0436450300,2,each,3,0,On the way,DigiKey 101602605,Controller/mains harness: Three-position LV cable housing,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-061,BOM-39,43025-0200,0430250200,2,each,3,0,On the way,DigiKey 101602605,12 V harness: Two-position cable housing,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-062,BOM-54,6715 black and 6715 white; 18AWG,Owner-held stock; exact manufacturer part number not recorded,4,m purchasing allocation,0,4,In stock,,Mains harness: Internal black and white mains wire,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-063,BOM-55,3075 green/yellow; 18AWG,Owner-held stock; exact manufacturer part number not recorded,2,m purchasing allocation,0,2,In stock,,PE harness: Green/yellow PE wire,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-064,BOM-56,"6713 red, black and blue; 22AWG",Owner-held stock; exact manufacturer part number not recorded,3,m purchasing allocation,0,3,In stock,,Controller/mains harness: Red black and blue LV harness wire,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-065,BOM-57,2-520184-2,2-520184-2,8,each,10,0,On the way,DigiKey 101602605,Mains harness: Insulated 6.35 mm receptacle,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-066,BOM-58,31886,31886,2,each,2,0,On the way,DigiKey 101602605,PE harness: Inlet and filter PE stud ring,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-067,BOM-59,320551,320551,1,each,1,0,On the way,DigiKey 101602605,PE harness: Pigtail PE stud ring,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-068,BOM-60,M3231,M3231,1,each,1,0,On the way,DigiKey 101602605,Enclosure: Output cord gland,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-069,BOM-61,6009.1315,Existing mains input cord (manufacturer part number not recorded),1,each,0,1,In stock,,Enclosure: Detachable mains input cord,Owner confirms existing mains input cord in stock. No purchase or shipment tracked.
ORDER-LINE-070,BOM-92,GST18U05-P1J,Existing service power supply; model not recorded,1,each,0,1,In stock,,Service kit: Isolated service wall adapter,Owner confirms an existing power supply available for service use. Model and ratings have not been recorded; this inventory credit does not establish equivalence to GST18U05-P1J or verify the regulated isolated 5 V service requirements.
ORDER-LINE-071,BOM-93,10-02248,10-02248,1,each,1,0,On the way,DigiKey 101602605,Service kit: Barrel adapter cable for JST XH service harness,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-072,BOM-122,01500274Z,01500274Z,1,each,1,0,On the way,DigiKey 101602605,Service kit: Service inline fuse holder,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-073,BOM-126,XHP-2,XHP-2,1,each,2,0,On the way,DigiKey 101602605,Service harness: Two-position 5 V service housing,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-074,BOM-127,SXH-001T-P0.6,BXH-001T-P0.6,2,each,10,0,On the way,DigiKey 101602605,Service harness: 5 V service crimp contacts,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-075,BOM-08 BOM-37 BOM-40,43030-0007,0430300007,16,each,25,0,On the way,DigiKey 101602605,Sensor and board-to-board harnesses: Female crimp contact,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-076,ORDER-01,6714 red and black;20AWG,Owner-held stock; exact manufacturer part number not recorded,2,m purchasing allocation,0,2,In stock,,Enclosure and assembly stock: Internal12V feed wire,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-077,ORDER-02,8463,8463,1,each,2,0,On the way,DigiKey 101602605,Enclosure and assembly stock: Black nylon1/2NPT gland locknut,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-078,ORDER-07,Adhesive-lined heatshrink assortment rated>=600V;fit insulated splice OD,Owner-held stock; exact manufacturer part number not recorded,1,kit,0,1,In stock,,Enclosure and assembly stock: Service splices and exposed drain insulation,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-079,ORDER-03,Unclad flame-retardant FR-4;2mm;UL94V-0 at2mm,Owner-held stock; exact manufacturer part number not recorded,1,200 x 200mm minimum sheet,0,1,In stock,,Enclosure and assembly stock: Separator and clamp-tab stock,"Owner confirms sufficient existing stock for this build. Quantity is the build allocation, not total holdings. No purchase or shipment tracked; specified material and dimensions remain assembly requirements."
ORDER-LINE-080,ORDER-04,Unclad flame-retardant FR-4;3mm;UL94V-0 at3mm,Owner-held stock; exact manufacturer part number not recorded,1,250 x 250mm minimum sheet,0,1,In stock,,Enclosure and assembly stock: Carrier/H-rails/PE bracket stock,"Owner confirms sufficient existing stock for this build. Quantity is the build allocation, not total holdings. No purchase or shipment tracked; specified material and dimensions remain assembly requirements."
ORDER-LINE-081,ORDER-05,M4 nylon threaded rod;>=80mm,Owner-held stock; exact manufacturer part number not recorded,4,each,0,4,In stock,,Enclosure and assembly stock: Four continuous frame/base posts,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-082,ORDER-06,M4x30 stainless steel or brass bolt/stud,Owner-held stock; exact manufacturer part number not recorded,1,each,0,1,In stock,,Enclosure and assembly stock: Dedicated PE junction stud,"Owner confirms sufficient existing stock for this build. Quantity is the build allocation, not total holdings. No purchase or shipment tracked; specified material and dimensions remain assembly requirements."
ORDER-LINE-083,ORDER-08,Nonconductive cable-tie base;15–20mm square,3240707,2,each,10,0,On the way,DigiKey 101602605,Enclosure and assembly stock: Glass-side external cable anchors,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-084,ORDER-09,Nylon small cable tie compatible with selected bases,Owner-held stock; exact manufacturer part number not recorded,4,each,0,4,In stock,,Enclosure and assembly stock: External sensor jacket ties,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-085,ORDER-10,5952,Owner-held stock; exact manufacturer part number not recorded,1,50 x 50mm minimum patch,0,1,In stock,,Enclosure and assembly stock: Tape for external cable anchors,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-086,ORDER-11,M4 nylon nut,04M040070HN,40,each,50,0,On the way,DigiKey 101602605,Enclosure and assembly stock: Frame/base elevation locking nuts,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-087,ORDER-12,M4 nylon flat washer,16M04090080,40,each,50,0,On the way,DigiKey 101602605,Enclosure and assembly stock: Frame/base washers,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-088,ORDER-13 ORDER-30,M4-compatible elastomer sealing washer,Owner-held stock; exact manufacturer part number not recorded,6,each,0,6,In stock,,Enclosure and assembly stock: Frame/base hole seals; PE bracket base hole seals,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-089,ORDER-14,Insulating/rubber foot;10mm high,Owner-held stock; exact manufacturer part number not recorded,4,each,0,4,In stock,,Enclosure and assembly stock: Enclosure freestanding feet,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-090,ORDER-15,Nylon spacer tube;M4 clearance bore;trim to3.2mm,Owner-held stock; exact manufacturer part number not recorded,4,each,0,4,In stock,,Enclosure and assembly stock: Carrier floor feet,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
ORDER-LINE-091,ORDER-16,M3 plain insulating spacer; 7 mm effective; OD <=8 mm,R30-6700794,4,each,5,0,On the way,DigiKey 101602605,Enclosure and assembly stock: Lower PCB supports,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-092,ORDER-17,M3 plain insulating spacer;3mm effective;OD<=8mm,R30-6700394,4,each,5,0,On the way,DigiKey 101602605,Enclosure and assembly stock: Upper PCB spacers,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-093,ORDER-18,M3 x 16 mm nylon pan-head bolt,50M030050P016,4,each,6,0,On the way,DigiKey 101602605,Enclosure and assembly stock: Lower PCB through-bolts,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-094,ORDER-20,M3x12 countersunk nylon screw,50M030050H012,12,each,16,0,On the way,DigiKey 101602605,Enclosure and assembly stock: Corner stop and upper rail through-fasteners,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-095,ORDER-21,M3 nylon nut;OD<=8mm,04M030050HN,16,each,20,0,On the way,DigiKey 101602605,Enclosure and assembly stock: Corner-stop and upper-support nuts,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-096,ORDER-22,M3 nylon flat washer;OD<=8mm,MFW030A,32,each,50,0,On the way,DigiKey 101602605,Enclosure and assembly stock: PCB/corner-stop washers,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-097,ORDER-23,M4 stainless steel or brass hex nut,Owner-held stock; exact manufacturer part number not recorded,3,each,0,3,In stock,,Enclosure and assembly stock: PE junction metal clamp/mount nuts,"Owner confirms sufficient existing stock for this build. Quantity is the build allocation, not total holdings. No purchase or shipment tracked; specified material and dimensions remain assembly requirements."
ORDER-LINE-098,ORDER-24,M4 all-metal prevailing-torque locknut,Owner-held stock; exact manufacturer part number not recorded,1,each,0,1,In stock,,Enclosure and assembly stock: PE junction locknut,"Owner confirms sufficient existing stock for this build. Quantity is the build allocation, not total holdings. No purchase or shipment tracked; specified material and dimensions remain assembly requirements."
ORDER-LINE-099,ORDER-25,M4 metal flat washer,Owner-held stock; exact manufacturer part number not recorded,4,each,0,4,In stock,,Enclosure and assembly stock: PE junction metal washers,"Owner confirms sufficient existing stock for this build. Quantity is the build allocation, not total holdings. No purchase or shipment tracked; specified material and dimensions remain assembly requirements."
ORDER-LINE-100,ORDER-26,M4 metal serrated locking washer,Owner-held stock; exact manufacturer part number not recorded,1,each,0,1,In stock,,Enclosure and assembly stock: PE junction locking washer,"Owner confirms sufficient existing stock for this build. Quantity is the build allocation, not total holdings. No purchase or shipment tracked; specified material and dimensions remain assembly requirements."
ORDER-LINE-101,ORDER-27,Insulating removable terminal cover;fitsM4PEstack,Owner-held stock; exact manufacturer part number not recorded,1,each,0,1,In stock,,Enclosure and assembly stock: PE junction cover,"Owner confirms sufficient existing stock for this build. Quantity is the build allocation, not total holdings. No purchase or shipment tracked; specified material and dimensions remain assembly requirements."
ORDER-LINE-102,ORDER-28,M4 x 30 mm nylon bolt,50M040070D030,2,each,5,0,On the way,DigiKey 101602605,Enclosure and assembly stock: PE bracket base bolts,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-103,ORDER-29,Insulating M4 clearance sleeve;8.2mm effective,Owner-held stock; exact manufacturer part number not recorded,2,each,0,2,In stock,,Enclosure and assembly stock: PE bracket floor spacers,"Owner confirms stock sufficient for the current build. Quantity records the build allocation, not a count of all stock held. No purchase or shipment tracked; specified material and dimensions remain the assembly requirements."
