BOM IDs,Assembly,Manufacturer,MPN or specification,Description,Required quantity,Unit,Recommended spares,Suggested buy quantity,Purchase status,Order ref,Selection status,Supplier lookup,Source,Notes
ORDER-10,Enclosure and assembly stock,3M,5952,Tape for external cable anchors,1,50 x 50mm minimum patch,1,2,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=5952,https://www.3m.com/3M/en_US/p/dc/v100809057/,Foam tape only under external cable anchors. Never substitute it for 467MP under the sensor.
ORDER-11,Enclosure and assembly stock,,M4 nylon nut,Frame/base elevation locking nuts,40,each,8,48,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4%20nylon%20nut,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Forty fitted nuts for frame and bracket joints, plus eight spare. PE electrical clamping uses separate metal nuts."
ORDER-12,Enclosure and assembly stock,,M4 nylon flat washer,Frame/base washers,40,each,8,48,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4%20nylon%20flat%20washer,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Forty fitted washers for frame and bracket joints, plus eight spare. Elevations account for installed washer thickness."
ORDER-13,Enclosure and assembly stock,,M4-compatible elastomer sealing washer,Frame/base hole seals,4,each,2,6,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4-compatible%20elastomer%20sealing%20washer,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,Four frame-post base holes. Modified enclosure sealing must be checked after assembly.
ORDER-14,Enclosure and assembly stock,,Insulating/rubber foot;10mm high,Enclosure freestanding feet,4,each,1,5,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=Insulating/rubber%20foot%3B10mm%20high,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,Raise the freestanding enclosure above external frame nuts. Place outside screw and harness areas.
ORDER-15,Enclosure and assembly stock,,Nylon spacer tube;M4 clearance bore;trim to3.2mm,Carrier floor feet,4,each,1,5,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=Nylon%20spacer%20tube%3BM4%20clearance%20bore%3Btrim%20to3.2mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,The modeled enclosure floor is Z1.8 mm. Effective feet height 3.2 mm holds carrier bottom at Z5 mm. Include washer thickness in this height.
ORDER-16,Enclosure and assembly stock,,M3 plain insulating spacer; 7 mm effective; OD <=8 mm,Lower PCB supports,4,each,1,5,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M3%20plain%20insulating%20spacer%3B%207%20mm%20effective%3B%20OD%20%3C%3D8%20mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Four plain spacers, with single M3 x 16 mm through-bolts. Effective carrier-top to mains-underside gap is 7 mm (Z8 to Z15)."
ORDER-17,Enclosure and assembly stock,,M3 plain insulating spacer;3mm effective;OD<=8mm,Upper PCB spacers,4,each,1,5,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M3%20plain%20insulating%20spacer%3B3mm%20effective%3BOD%3C%3D8mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Four plain spacers, with single M3 x 12 mm countersunk through-bolts. Effective rail-top to controller-underside gap is 3 mm (Z58.6 to Z61.6)."
ORDER-18,Enclosure and assembly stock,,M3 x 16 mm nylon pan-head bolt,Lower PCB through-bolts,4,each,2,6,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M3%20x%2016%20mm%20nylon%20pan-head%20bolt,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Four lower PCB bolts pass through 3 mm carrier, 7 mm spacer and 1.6 mm PCB, then washer/nut. No opposing screws inside short spacers."
ORDER-20,Enclosure and assembly stock,,M3x12 countersunk nylon screw,Corner stop and upper rail through-fasteners,12,each,4,16,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M3x12%20countersunk%20nylon%20screw,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,Twelve fitted: eight corner-stop pins and four upper-rail through-bolts. Recess heads flush below rails. Upper bolts use plain 3 mm spacers and top nuts.
ORDER-21,Enclosure and assembly stock,,M3 nylon nut;OD<=8mm,Corner-stop and upper-support nuts,16,each,4,20,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M3%20nylon%20nut%3BOD%3C%3D8mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,Sixteen fitted: eight PCB through-bolts and eight corner-stop screws. Four spare.
ORDER-22,Enclosure and assembly stock,,M3 nylon flat washer;OD<=8mm,PCB/corner-stop washers,32,each,16,48,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M3%20nylon%20flat%20washer%3BOD%3C%3D8mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,Thirty-two fitted and sixteen spare washers. Preserve effective 7 mm lower and 3 mm upper gaps after washers are included.
ORDER-23,Enclosure and assembly stock,,M4 stainless steel or brass hex nut,PE junction metal clamp/mount nuts,3,each,1,4,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4%20stainless%20steel%20or%20brass%20hex%20nut,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,Three ordinary metal nuts plus the separately listed all-metal locking nut give four metal nuts for the PE junction.
ORDER-24,Enclosure and assembly stock,,M4 all-metal prevailing-torque locknut,PE junction locknut,1,each,1,2,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4%20all-metal%20prevailing-torque%20locknut,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,All-metal locking nut for the PE electrical pressure stack; no nylon insert.
ORDER-25,Enclosure and assembly stock,,M4 metal flat washer,PE junction metal washers,4,each,2,6,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4%20metal%20flat%20washer,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,PE electrical stack metal washers. Keep polymer material outside the electrical pressure stack.
ORDER-26,Enclosure and assembly stock,,M4 metal serrated locking washer,PE junction locking washer,1,each,1,2,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4%20metal%20serrated%20locking%20washer,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"PE junction locking washer, separate from nylon mounting hardware."
ORDER-27,Enclosure and assembly stock,,Insulating removable terminal cover;fitsM4PEstack,PE junction cover,1,each,0,1,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=Insulating%20removable%20terminal%20cover%3BfitsM4PEstack,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,Removable insulating cover over the assembled M4 x 30 mm PE stack. Attach to the bracket so no live-accessible metal termination is exposed during ordinary use.
ORDER-28,Enclosure and assembly stock,,M4 x 30 mm nylon bolt,PE bracket base bolts,2,each,2,4,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4%20x%2030%20mm%20nylon%20bolt,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Two PE bracket base fixings at (275,195) and (305,195). Allow 5.8 mm wall, 8.2 mm sleeve, 3 mm bracket, seals, washers and nuts. These are separate from the metal PE stud."
ORDER-29,Enclosure and assembly stock,,Insulating M4 clearance sleeve;8.2mm effective,PE bracket floor spacers,2,each,1,3,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=Insulating%20M4%20clearance%20sleeve%3B8.2mm%20effective,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,Effective 8.2 mm height keeps bracket bottom Z10 mm above floor Z1.8 mm; include washer thickness.
ORDER-30,Enclosure and assembly stock,,M4-compatible elastomer sealing washer,PE bracket base hole seals,2,each,2,4,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4-compatible%20elastomer%20sealing%20washer,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Two additional PE bracket base-hole seals, separate from the four frame-post seals."
