Manufacturer,MPN or specification,Use,Required quantity,Unit,Recommended spares,Suggested buy quantity,Purchase status,Source IDs,Supplier lookup,Source,Controller refs,Controller quantity per set,Mains refs,Mains quantity per set,Sensor refs,Sensor quantity per set,Selection status,Notes
TDK,B32921C3473K000,mains: C1,1,each,3,4,Not ordered,BOM-14,https://www.digikey.ca/en/products?keywords=B32921C3473K000,https://www.tdk-electronics.tdk.com/en/3191402/products/product-catalog/film-capacitors/emi-suppression-capacitors/search-results-deltacap-capacitors?so=%7B%22orderingCode%22%3A%22B32921C3473%2A%22%7D,,0,C1,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Omron,B3F-1002-G,controller: SW1 SW2 SW3,3,each,1,4,Not ordered,BOM-20,https://www.digikey.ca/en/products?keywords=B3F-1002-G,https://components.omron.com/us-en/system/files/2023-01/datasheet_pdf/A070-E1.pdf,SW1 SW2 SW3,3,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
TDK,C1608X7R1H104K080AA,controller: C6 C7 C8 C11 C12 C21 C30 C31 C40 C41 C42 C45 C46; mains: C5 C7; sensor: C3,16,each,4,20,Not ordered,BOM-81,https://www.digikey.ca/en/products?keywords=C1608X7R1H104K080AA,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,C6 C7 C8 C11 C12 C21 C30 C31 C40 C41 C42 C45 C46,13,C5 C7,2,C3,1,Exact accepted PCB MPN,All current physical components populated; owner assembly.
TDK,C2012X7R1E105K125AB,controller: C9 C20 C43; sensor: C4,4,each,3,7,Not ordered,BOM-82,https://www.digikey.ca/en/products?keywords=C2012X7R1E105K125AB,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,C9 C20 C43,3,,0,C4,1,Exact accepted PCB MPN,All current physical components populated; owner assembly.
TDK,C3216X7R1E106K160AB,controller: C44; sensor: C1 C2,3,each,3,6,Not ordered,BOM-66,https://www.digikey.ca/en/products?keywords=C3216X7R1E106K160AB,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c3216x7r1e106k160ab_200122.pdf,C44,1,,0,C1 C2,2,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Vishay,CRCW25126R80FKEGHP,controller: R68 R69,2,each,3,5,Not ordered,BOM-110,https://www.digikey.ca/en/products?keywords=CRCW25126R80FKEGHP,https://www.vishay.com/docs/20043/crcwhpe3.pdf,R68 R69,2,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERA3AEB103V,controller: R15,1,each,3,4,Not ordered,BOM-83,https://www.digikey.ca/en/products?keywords=ERA3AEB103V,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB103V,R15,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERA3AEB9532V,controller: R14,1,each,3,4,Not ordered,BOM-90,https://www.digikey.ca/en/products?keywords=ERA3AEB9532V,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB9532V,R14,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERJ3EKF1000V,controller: R20 R80 R82 R84,4,each,3,7,Not ordered,BOM-87,https://www.digikey.ca/en/products?keywords=ERJ3EKF1000V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1000V,R20 R80 R82 R84,4,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERJ3EKF1001V,controller: R42,1,each,3,4,Not ordered,BOM-85,https://www.digikey.ca/en/products?keywords=ERJ3EKF1001V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1001V,R42,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERJ3EKF1002V,controller: R2 R11 R12 R46 R50 R51 R52 R53 R64 R65 R66 R67 R81 R83 R85; sensor: R5,16,each,4,20,Not ordered,BOM-121,https://www.digikey.ca/en/products?keywords=ERJ3EKF1002V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1002V,R2 R11 R12 R46 R50 R51 R52 R53 R64 R65 R66 R67 R81 R83 R85,15,,0,R5,1,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERJ3EKF1003V,controller: R43,1,each,3,4,Not ordered,BOM-86,https://www.digikey.ca/en/products?keywords=ERJ3EKF1003V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1003V,R43,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERJ3EKF22R0V,controller: R44 R45 R62 R63 R70 R71; sensor: R1 R2,8,each,3,11,Not ordered,BOM-89,https://www.digikey.ca/en/products?keywords=ERJ3EKF22R0V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF22R0V,R44 R45 R62 R63 R70 R71,6,,0,R1 R2,2,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERJ3EKF2701V,controller: R60 R61 R72 R73; sensor: R3 R4,6,each,3,9,Not ordered,BOM-88,https://www.digikey.ca/en/products?keywords=ERJ3EKF2701V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF2701V,R60 R61 R72 R73,4,,0,R3 R4,2,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERJ3EKF3011V,sensor: R6,1,each,3,4,Not ordered,BOM-117,https://www.digikey.ca/en/products?keywords=ERJ3EKF3011V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF3011V,,0,,0,R6,1,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERJ3EKF3300V,controller: R55,1,each,3,4,Not ordered,BOM-91,https://www.digikey.ca/en/products?keywords=ERJ3EKF3300V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF3300V,R55,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERJ3EKF5101V,controller: R40 R41,2,each,3,5,Not ordered,BOM-84,https://www.digikey.ca/en/products?keywords=ERJ3EKF5101V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF5101V,R40 R41,2,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Panasonic,ERJ3EKF6800V,controller: R54,1,each,3,4,Not ordered,BOM-80,https://www.digikey.ca/en/products?keywords=ERJ3EKF6800V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF6800V,R54,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Texas Instruments,ESDS312DBVR,controller: U11 U13; sensor: U3,3,each,1,4,Not ordered,BOM-107,https://www.digikey.ca/en/products?keywords=ESDS312DBVR,https://www.ti.com/lit/ds/symlink/esds312.pdf,U11 U13,2,,0,U3,1,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Espressif,ESP32-C6-WROOM-1-N8,controller: U1,1,each,1,2,Not ordered,BOM-02,https://www.digikey.ca/en/products?keywords=ESP32-C6-WROOM-1-N8,https://www.espressif.com/sites/default/files/documentation/esp32-c6-wroom-1_wroom-1u_datasheet_en.pdf,U1,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Texas Instruments,FDC1004DGSR,sensor: U1,1,each,1,2,Not ordered,BOM-01,https://www.digikey.ca/en/products?keywords=FDC1004DGSR,https://www.ti.com/lit/ds/symlink/fdc1004.pdf,,0,,0,U1,1,Exact accepted PCB MPN,All current physical components populated; owner assembly.
onsemi,FSUSB42MUX,controller: U8,1,each,1,2,Not ordered,BOM-30,https://www.digikey.ca/en/products?keywords=FSUSB42MUX,https://www.onsemi.com/download/data-sheet/pdf/fsusb42-d.pdf,U8,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Omron,G5RL-1A-TV8 DC5,mains: K1,1,each,0,1,Not ordered,BOM-04,https://www.digikey.ca/en/products?keywords=G5RL-1A-TV8%20DC5,https://components.omron.com/us-en/products/relays/G5RL,,0,K1,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Murata,GRM32ER71E226ME15L,controller: C1 C2 C3 C4 C5 C47; mains: C2 C3 C4 C6,10,each,3,13,Not ordered,BOM-63,https://www.digikey.ca/en/products?keywords=GRM32ER71E226ME15L,https://ds.murata.com/simsurfing/mlcc.html?partnumbers=%5B%22GRM32ER71E226ME15%22%5D,C1 C2 C3 C4 C5 C47,6,C2 C3 C4 C6,4,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Mean Well,IRM-45-12,mains: U1,1,each,0,1,Not ordered,BOM-03,https://www.digikey.ca/en/products?keywords=IRM-45-12,https://www.meanwell.com/Upload/PDF/IRM-45/IRM-45-SPEC.pdf,,0,U1,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Vishay,PR02FS0201000KA100,mains: R1,1,each,3,4,Not ordered,BOM-24,https://www.digikey.ca/en/products?keywords=PR02FS0201000KA100,https://www.vishay.com/docs/28915/pr02fs.pdf,,0,R1,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
JST,S2B-XH-A,controller: J2,1,each,1,2,Not ordered,BOM-125,https://www.digikey.ca/en/products?keywords=S2B-XH-A,https://www.jst.com/wp-content/uploads/2025/06/eXH.pdf,J2,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Littelfuse,SMBJ7.0A,controller: D7 D8,2,each,1,3,Not ordered,BOM-108,https://www.digikey.ca/en/products?keywords=SMBJ7.0A,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=ba555e99-a12d-4f72-a0b6-86b06c67171e,D7 D8,2,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Texas Instruments,SN74LVC1G08DBVR,controller: U6,1,each,1,2,Not ordered,BOM-29,https://www.digikey.ca/en/products?keywords=SN74LVC1G08DBVR,https://www.ti.com/lit/ds/symlink/sn74lvc1g08.pdf,U6,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Texas Instruments,SN74LVC1G14DBVR,controller: U7,1,each,1,2,Not ordered,BOM-31,https://www.digikey.ca/en/products?keywords=SN74LVC1G14DBVR,https://www.ti.com/lit/ds/symlink/sn74lvc1g14.pdf,U7,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Bourns,SRP5030TA-4R7M,controller: L1; mains: L1,2,each,1,3,Not ordered,BOM-26,https://www.digikey.ca/en/products?keywords=SRP5030TA-4R7M,https://www.bourns.com/docs/product-datasheets/srp5030ta.pdf,L1,1,L1,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
STMicroelectronics,STPS2L40U,controller: D1 D2 D9 D10 D11; sensor: D2,6,each,1,7,Not ordered,BOM-27,https://www.digikey.ca/en/products?keywords=STPS2L40U,https://www.st.com/resource/en/datasheet/stps2l40.pdf,D1 D2 D9 D10 D11,5,,0,D2,1,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Texas Instruments,TCA9517ADGKR,controller: U3 U12,2,each,1,3,Not ordered,BOM-33,https://www.digikey.ca/en/products?keywords=TCA9517ADGKR,https://www.ti.com/lit/ds/symlink/tca9517a.pdf,U3 U12,2,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Littelfuse,TMOV14RP175EL2T7,mains: RV1,1,each,3,4,Not ordered,BOM-13,https://www.digikey.ca/en/products?keywords=TMOV14RP175EL2T7,https://www.littelfuse.com/assetdocs/tmov-itmov?assetguid=bd475732-1071-4352-b8aa-f78b0007eb05,,0,RV1,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Texas Instruments,TPS2553DBVR,controller: U5,1,each,1,2,Not ordered,BOM-62,https://www.digikey.ca/en/products?keywords=TPS2553DBVR,https://www.ti.com/lit/ds/symlink/tps2553.pdf,U5,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Texas Instruments,TPS3808G01DBVR,controller: U4,1,each,1,2,Not ordered,BOM-28,https://www.digikey.ca/en/products?keywords=TPS3808G01DBVR,https://www.ti.com/lit/ds/symlink/tps3808.pdf,U4,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Texas Instruments,TPS7A2433DBVR,sensor: U2,1,each,1,2,Not ordered,BOM-17,https://www.digikey.ca/en/products?keywords=TPS7A2433DBVR,https://www.ti.com/lit/ds/symlink/tps7a24.pdf,,0,,0,U2,1,Exact accepted PCB MPN,All current physical components populated; owner assembly.
GCT,USB4105-GF-A,controller: J4,1,each,1,2,Not ordered,BOM-18,https://www.digikey.ca/en/products?keywords=USB4105-GF-A,https://gct.co/files/drawings/usb4105.pdf,J4,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
STMicroelectronics,USBLC6-2SC6,controller: U9,1,each,1,2,Not ordered,BOM-32,https://www.digikey.ca/en/products?keywords=USBLC6-2SC6,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,U9,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Kingbright,WP710A10LGD,controller: D4,1,each,1,2,Not ordered,BOM-19,https://www.digikey.ca/en/products?keywords=WP710A10LGD,https://www.kingbrightusa.com/images/catalog/SPEC/WP710A10LGD.pdf,D4,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
TE/Schaffner,FN2090A-1-06 / 802490-SF,Enclosure mains: Manufactured two-stage EMI filter,1,each,0,1,Not ordered,BOM-05,https://www.digikey.ca/en/products?keywords=FN2090A-1-06%20%2F%20802490-SF,https://www.te.com/en/product-CAT-P97-F2090.html,,0,,0,,0,Capture candidate,1 A low-leakage two-stage filter on pump branch; attenuation/install tests owed
Molex,43025-0600,Sensor harness: Six-position cable receptacle housing,1,each,1,2,Not ordered,BOM-06,https://www.digikey.ca/en/products?keywords=43025-0600,https://www.molex.com/en-us/products/part-detail/430250600,,0,,0,,0,Capture candidate,One controller-end housing; sensor end solders to J1 pigtail pads; mates 43045-0600 with six 43030-0007 tin contacts
Schurter,6200.2300,Enclosure: Standard mains input,1,each,0,1,Not ordered,BOM-10,https://www.digikey.ca/en/products?keywords=6200.2300,https://www.schurter.com/en/datasheet/typ_6200.pdf,,0,,0,,0,Capture candidate,C14 with one wired 5x20 fuse pole; RC320 terminal cover separate
Americord,1112.048.005350,Enclosure: Mains receptacle or female pigtail,1,each,0,1,Not ordered,BOM-11,https://www.digikey.ca/en/products?keywords=1112.048.005350,https://www.americord.com/en-ca/products/4ft-roj-2-strip-3-8-to-nema-5-15r-power-cord-18-3-sjtow-na,,0,,0,,0,Capture candidate,4 ft 18/3 SJTOW; 10 A/125 V; confirm received jacket OD and gland fit
Littelfuse,0215002.MXP,Mains: 2 A time-lag inlet fuse F1; Service 2 A time-lag cartridge,2.0,each,2.0,4.0,Not ordered,BOM-12 BOM-123,https://www.digikey.ca/en/products?keywords=0215002.MXP,https://www.littelfuse.com/assetdocs/fuse-215-datasheet?assetguid=990f7193-d9a2-48e4-b760-2b43514249cf,,0,,0,,0,Selected for capture,215-series ceramic 5x20 cartridge in 6200.2300 inlet. 190 mV maximum drop at rated current. Final assembly cold starts remain untested. Same 215-series cartridge as inlet F1; 190 mV maximum rated-current voltage drop. Protects service wiring; not an electronic current limiter.
Hammond,1590ZGRP243,Enclosure: Flame-rated splash-resistant enclosure,1,each,0,1,Not ordered,BOM-21,https://www.digikey.ca/en/products?keywords=1590ZGRP243,https://www.hammfg.com/part/1590ZGRP243,,0,,0,,0,Capture candidate,400x250x120 mm nominal GRP UL94 V-0 IP66 enclosure; insulating partition and simple standoffs; current manufacturer STEP fit receipt in cad/shared-enclosure. Modified cutouts do not inherit catalog rating.
3M,467MP (25mm wide converter strip or sheet),Sensor mount: Thin uniform adhesive film for sensor-to-glass mounting,1,18 x 64mm patch,2,3,Not ordered,BOM-22,https://www.uline.ca/Product/Detail/S-10041/3M-Adhesive-Transfer-Tape/3M-467MP-Adhesive-Transfer-Tape-1-x-60-yds,https://multimedia.3m.com/mws/media/2522781O/3m-adhesive-transfer-tape-467mp.pdf?fn=3M-Adhesive-Transfer-Tape-467MP.pdf,,0,,0,,0,Selected for purchasing; installed response unmeasured,Thin acrylic transfer film without foam. 3M lists 0.05mm on product page and 0.06mm in current TDS; record actual film thickness at calibration. Buy a small genuine converter sheet/strip rather than a full industrial roll if available. Three patches need at least25x200mm.
Alpha Wire,"5493C, slate, cut length",Sensor harness: Three-pair cable at most 8 inches,0.2032,m maximum installed,0.7968,1,Not ordered,BOM-23,https://www.digikey.ca/en/products?keywords=5493C,https://www.alphawire.com/products/cable/xtra-guard-performance-cable/xtra-guard-1/5493c,,0,,0,,0,Selected cable construction; physical reach unmeasured,"3 twisted24AWG stranded pairs. Buy1m cutting stock; complete finished harness <=203.2mm including internal reach/terminations. Pair1 white-black pins1/4; pair2 white-brown pins2/5; pair3 white-red pins3/6. Individually sleeve/identify whites. Overall foil/drain cut back and insulated at both ends, not tied to SHLD1/SHLD2. Nominal cable contribution at max length16.27pF pair;29.33pF ground. Verify rise time and strain relief on final hardware."
Schurter,RC320,Enclosure: IEC rear terminal cover,1,each,0,1,Not ordered,BOM-34,https://www.digikey.ca/en/products?keywords=RC320,https://www.schurter.com/en/datasheet/typ_6200.pdf,,0,,0,,0,Capture candidate,Matched 6200 inlet accessory
Molex,43645-0300,Controller/mains harness: Three-position LV cable housing,2,each,1,3,Not ordered,BOM-36,https://www.digikey.ca/en/products?keywords=43645-0300,https://www.molex.com/en-us/products/part-detail/436450300,,0,,0,,0,Capture candidate,Mates 43650-0300
Molex,43025-0200,12 V harness: Two-position cable housing,2,each,1,3,Not ordered,BOM-39,https://www.digikey.ca/en/products?keywords=43025-0200,https://www.molex.com/en-us/products/part-detail/430250200,,0,,0,,0,Capture candidate,Two ends of the internal fused 12 V harness; future pump accessory mates are deferred.
Alpha Wire,6715 black and 6715 white; 18AWG,Mains harness: Internal black and white mains wire,4,m purchasing allocation,0,4,Not ordered,BOM-54,https://www.digikey.ca/en/products?keywords=6715,https://www.alphawire.com/en/products/wire/ecogen/ecowire/6715,,0,,0,,0,Selected stock allowance; final cuts measured during assembly,Buy2m black +2m white cut lengths (6715 BK005 / WH005 if full100ft spools are the only option). Cut after enclosure placement; three L/N links per color provisioned at<=0.5m each plus0.5m allowance. Output pigtail wire is included in BOM-11.
Alpha Wire,3075 green/yellow; 18AWG,PE harness: Green/yellow PE wire,2,m purchasing allocation,0,2,Not ordered,BOM-55,https://www.digikey.ca/en/products?keywords=3075,https://www.alphawire.com/en/products/wire/hook-up-wire/premium/3075,,0,,0,,0,Selected stock allowance; final cuts measured during assembly,Buy2m cut length; 3075 GY005 is100ft spool option. Two independent inlet/filter PE branches to common stud; output PE supplied by pigtail. Retain routing slack and insulated crimp compatibility.
Alpha Wire,"6713 red, black and blue; 22AWG",Controller/mains harness: Red black and blue LV harness wire,3,m purchasing allocation,0,3,Not ordered,BOM-56,https://www.digikey.ca/en/products?keywords=6713,https://www.alphawire.com/disteAPI/SpecPDF/DownloadProductSpecPdf?productPartNumber=6713,,0,,0,,0,Selected stock allowance; final cuts measured during assembly,Buy1m per color cut lengths. Internal5V/coil harness and short service lead. At0.5m max internal3-wire length each color has0.5m margin; service red/black must retain documented voltage-drop limit. Full-spool codes RD005/BK005/BL005 are100ft each.
TE Connectivity,2-520184-2,Mains harness: Insulated 6.35 mm receptacle,8,each,2,10,Not ordered,BOM-57,https://www.digikey.ca/en/products?keywords=2-520184-2,https://www.te.com/en/product-2-520184-2.html,,0,,0,,0,Count reconciled to inlet/filter topology,"Eight fitted: inlet L/N/PE (3), filter LINE/LOAD L/N (4), filter PE (1). Exact TE 802490-SF model confirms the fifth filter terminal is a PE FASTON blade. Three central PE rings are separate."
TE Connectivity,31886,PE harness: Inlet and filter PE stud ring,2,each,0,2,Not ordered,BOM-58,https://www.digikey.ca/en/products?keywords=31886,https://www.te.com/en/product-31886.html,,0,,0,,0,Capture candidate,#8/M4 PIDG; 22-16 AWG; insulation 2.67-3.56 mm; one per separate PE branch
TE Connectivity,320551,PE harness: Pigtail PE stud ring,1,each,0,1,Not ordered,BOM-59,https://www.digikey.ca/en/products?keywords=320551,https://www.te.com/en/product-320551.html,,0,,0,,0,Capture candidate,#8/M4 PIDG; 22-16 AWG; insulation 2.03-3.18 mm; verify received pigtail conductor
Heyco,M3231,Enclosure: Output cord gland,1,each,0,1,Not ordered,BOM-60,https://www.digikey.ca/en/products?keywords=M3231,https://www.heyco.com/wp-content/uploads/2024/10/Liquid-Tight-Cordgrips-NPT.pdf,,0,,0,,0,Capture candidate,1/2 NPT; 4.3-11.4 mm cable; 22.2 mm clearance hole; required mounting accessories pending
Schurter,6009.1315,Enclosure: Detachable mains input cord,1,each,0,1,Not ordered,BOM-61,https://www.digikey.ca/en/products?keywords=6009.1315,https://www.schurter.com/en/datasheet/6009.1315,,0,,0,,0,Capture candidate,2.5 m 18 AWG SJT; NEMA5-15P to C13; 10 A 125 V
Mean Well,GST18U05-P1J,Service kit: Isolated service wall adapter,1,each,0,0,Verify owned before buying,BOM-92,https://www.digikey.ca/en/products?keywords=GST18U05-P1J,https://www.meanwell.com/Upload/PDF/GST18U/GST18U-SPEC.PDF,,0,,0,,0,Selected; ownership check required,"Existing-known adapter in canonical notes, but inventory/order receipt absent. Reserve one GST18U05-P1J; buy one only if unavailable. Mains-disconnected service;2A fused positive lead."
Tensility,10-02248,Service kit: Barrel adapter cable for JST XH service harness,1,each,0,1,Not ordered,BOM-93,https://www.digikey.ca/en/products?keywords=10-02248,https://tensility.s3.us-west-2.amazonaws.com/imports/product_spec_sheets/10-02248.pdf,,0,,0,,0,Capture candidate,"Shorten10-02248; splice2A holder into positive wire, terminate in XHP-2/SXH-001T-P0.6. Obsolete Micro-Fit wording in original BOM-93 is superseded by controller J2 JST XH. Verify center-positive polarity and voltage-drop budget."
Littelfuse,01500274Z,Service kit: Service inline fuse holder,1,each,0,1,Not ordered,BOM-122,https://www.digikey.ca/en/products?keywords=01500274Z,https://www.littelfuse.com/assetdocs/fuse-holder-150-datasheet?assetguid=662e5ae4-2c3a-4d7a-8642-e7d9db02703d,,0,,0,,0,Selected for capture,Ordinary prewired 5x20 holder; 16 AWG leads; use insulated splices to 22 AWG JST XH service lead.
JST,XHP-2,Service harness: Two-position 5 V service housing,1,each,1,2,Not ordered,BOM-126,https://www.digikey.ca/en/products?keywords=XHP-2,https://www.jst.com/wp-content/uploads/2025/06/eXH.pdf,,0,,0,,0,Selected for capture,Mates controller J2; distinct from 12 V Micro-Fit ports.
JST,SXH-001T-P0.6,Service harness: 5 V service crimp contacts,2,each,4,6,Not ordered,BOM-127,https://www.digikey.ca/en/products?keywords=SXH-001T-P0.6,https://www.jst.com/wp-content/uploads/2025/06/eXH.pdf,,0,,0,,0,Selected for capture,Use 22 AWG service wire and compatible insulation; splice to inline fuse holder leads.
Molex,43030-0007,Sensor and board-to-board harnesses: Female crimp contact,16,each,8,24,Not ordered,BOM-08 BOM-37 BOM-40,https://www.digikey.ca/en/products?keywords=43030-0007,https://www.molex.com/en-us/products/part-detail/430300007,,0,,0,,0,Capture candidate,Six tank-sensor + six 5V/coil + four 12V contacts. No future pump or reservoir accessory mates. Tin 20–24AWG; maximum insulation OD1.85mm.
Alpha Wire,6714 red and black;20AWG,Enclosure and assembly stock: Internal12V feed wire,2,m purchasing allocation,0,2,Not ordered,ORDER-01,https://www.digikey.ca/en/products?keywords=6714%20red%20and%20black%3B20AWG,https://www.alphawire.com/en/products/wire/ecogen/ecowire/6714,,0,,0,,0,Selected purchasing specification,Buy1m per color; cut one matched pair between mainsJ6/controllerJ6.20AWG fits retained43030 contacts; ordinary isolated12V harness.
Heyco,8463,Enclosure and assembly stock: Black nylon1/2NPT gland locknut,1,each,1,2,Not ordered,ORDER-02,https://www.digikey.ca/en/products?keywords=8463,https://www.heyco.com/wp-content/uploads/2024/08/Sun_Products_Catalog.pdf,,0,,0,,0,Selected purchasing specification,Fits retainedM3231. Its integral sealing ring needs no separate O-ring. Verify wall thickness plus6.7mm nut engagement against15.5mm gland thread; no hole drilling included.
